Title,Price,Description,Link,Date,Condition,Fetched Timestamp
Gigabyte GTX 1650 OC LP - 4GB GDDR5,100.00,"Lisätiedot
			Gigabyten matalaprofiilinen näytönohjain kaupan.
Ostettu vuoden 2020 kesällä Proshopista (kuitti
löytyy, 2 vuoden takuu päättynyt). Ollut omassa käytössä vuoden verran, ITX
kokoonpanossa peli sekä mediakäytössä. Vaihdettu lämpötahnat hiljattain sekä puhallettu
pahimmat pölyt pois.Mukana alkuperäinen laatikko sekä hilppeet mitä
kortin mukana tullut.Voin lähettää kortin (ostajan kustannuksella),
mutta mieluiten nouto.",https://www.tori.fi/uusimaa/Gigabyte_GTX_1650_OC_LP___4GB_GDDR5_118369326.htm?ca=18&w=1,17 syyskuuta 17:05,Erinomainen,01:29:00 2023-10-02
Asus GTX 580 DirectCUII,60.00,"Lisätiedot
			Laadukas näytönohjain budjettikoneeseen. Itse
pelaillut tällä ja pyörittää hyvin vanhempia
pelejä. Memory size: 1536 MBMemory type: GDDR5Memory clock: 1002 MHzMemory clock (effective): 4008 MHzPortit:2x DVI1x HDMI 1.3a1x DisplayPortVoin toimittaa Matinkylän lähettyvillä ja samoin
Kirkkonummen.",https://www.tori.fi/uusimaa/Asus_GTX_580_DirectCUII_118362400.htm?ca=18&w=1,17 syyskuuta 15:30,Hyvä,01:29:01 2023-10-02
Asus Strix GTX 980 Ti 6GB,100.00,"Lisätiedot
			Myydään ylimääräiseksi jäänyt näytönohjain.
Käytetty ainoastaan kevyehköön pelaamiseen (GTA V
,1080p). Pölyt puhallettu pois koneesta
irroittamisen jälkeen ja lämpötahnat vaihdettu
viime talvena.",https://www.tori.fi/uusimaa/Asus_Strix_GTX_980_Ti_6GB_118305543.htm?ca=18&w=1,16 syyskuuta 14:28,Hyvä,01:29:03 2023-10-02
Nvidia Geforce 1060 6GB,100.00,"Lisätiedot
			Hei, myyn Nvidia Geforce 1060 6GB näytönohjaimen
paremman alta pois.Nouto Kivistöstä tai pk seudun alueella. Maksu
käteinen tai mobilepay",https://www.tori.fi/uusimaa/Nvidia_Geforce_1060_6GB_118264828.htm?ca=18&w=1,15 syyskuuta 15:25,Erinomainen,01:29:04 2023-10-02
PNY 1660Super,99.00,"Lisätiedot
			The GeForce® GTX 1660 SUPER is up to 20% faster
than the original GTX 1660 and up to 1.5X faster
than the previous-generation GTX 1060 6GB. Powered
by the award-winning NVIDIA Turing architecture
and ultra-fast GDDR6 memory, it's a supercharger
for today's most popular games. Time to gear up
and get SUPER.Experience the breakthrough graphics performance
of the award- winning NVIDIA Turing architecture
with GeForce® GTX 16 Series graphics cards and
laptops. Upgrade your PC for performance that's
blazing-fast on today's most popular games, and
even faster with modern titles. Step up to GeForce
GTX.Now the new GeForce GTX SUPER Series has
ultra-fast GDDR6 memory, bringing you performance
that's up to 50% faster than the original GTX 16
Series and up to 2X faster than
previous-generation 10 Series GPUs. It's time to
gear up and get SUPER.KEY FEATURESBased on Turing ArchitectureNVIDIA GeForce ExperienceNVIDIA AnselNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft® DirectX® 12 API, Vulkan API, OpenGL 4.6HDCP 2.2NVIDIA GPU BoostVR ReadySYSTEM REQUIREMENTSPCI Express-compliant motherboard with one
dual-width x16 graphics slotOne 8-pin supplementary power connector450 W or greater system power supply21.5GB available hard-disk space8GB system memory (16GB or higher recommended)Microsoft Windows 10 (April 2018 Update or later),
Windows 7 64-bit, Linux 64-bitInternet connection3",https://www.tori.fi/uusimaa/PNY_1660Super_118246115.htm?ca=18&w=1,15 syyskuuta 04:46,-,01:29:05 2023-10-02
Asus 2070 Dual OC,199.00,"Lisätiedot
			Hyvässä kunnnossa työpöytäkäytöstä. Nouto
etusijalla. Juuri puhdistettu.KAHDEN TUULETTIMEN RAKENNEASUS Dual GeForce® RTX 2070 8G -näytönohjaimessa
suorituskyky ja yksinkertaisuus yhdistyvät
ennennäkemättömällä tavalla, ja se tarjoaa
uusimman NVIDIA Turing -pelikokemuksen
aidoimmillaan. Dual GeForce® RTX 2070 8G
-näytönohjaimessa hyödynnetään
STRIX-lippulaivanäytönohjaimesta johdettua
edistyksellistä jäähdytystekniikkaa, ja teho on
nostettu tyylin yläpuolelle. Siksi se on
täydellinen valinta tasapainotettuun kokoonpanoon.
Valmistaudu huippuluokan pelielämykseen.PATENTOIDUT SIIPITUULETTIMETPatentoitu siipituuletinrakenne on viileä ja
hiljainen, ja perinteisiin aksiaalituulettimiin
verrattuna sen jäähdytyselementtiin kohdistama
staattinen paine on 105 prosenttia suurempi.
IP5X-pölysuojaus estää hiukkasten pääsyn
tuulettimen sisäosiin ja takaa sujuvan toiminnan.0 DESIBELIN TEKNIIKKA0 desibelin tekniikan ansiosta tuulettimet
lakkaavat pyörimästä, kun grafiikkasuorittimen
ytimen lämpötila pysyy alle 55 celsiusasteessa.
Voit siis nauttia pelaamisesta täydellisessä
hiljaisuudessa. Jos lämpötila nousee, tuulettimet
käynnistyvät automaattisesti.2,7-PAIKKAINEN RAKENNETämän sukupolven parhaimmissa näytönohjaimissa on
2,7-paikkainen rakenne suurempaa
jäähdytyselementtiä varten, koska koolla on tässä
tapauksessa merkitystä. Olemme laajentaneet
jäähdytysjärjestelmän kokonaispinta-alaa yli 50
prosentilla aiempaan sukupolveen verrattuna. Jos
haluat saada kaiken mahdollisen irti Dual GeForce®
RTX 2070 8G -näytönohjaimen suorituskyvystä, uusin
rakenteemme tarjoaa huomattavasti enemmän
pelivaraa lämpötilaa ja ylikellottamista
ajatellen. Jos taas tavoittelet huippuluokan
plug-and-play-kokemusta, lämmön lisähajaantuminen
pitää tuulettimet käynnissä alhaisemmilla
nopeuksilla pelaamisen aikana.NVIDIA® G-SYNC -TEKNIIKKADual GeForce® RTX 2070 8G -näytönohjaimen NVIDIA®
G-SYNC -näyttötekniikka mahdollistaa sulavimman ja
nopeimman pelikokemuksen, jonka voit kuvitella. Se
eliminoi näytön repeilyn sekä minimoi kuvan
nykimisen ja näyttöviiveen. Nauti uusimmista FPS-,
urheilu- ja toimintaseikkailupeleistä
huippunopealla kuvataajuudella  myös
grafiikka-asetusten ollessa korkeimmalla tasolla!",https://www.tori.fi/uusimaa/Asus_2070_Dual_OC_118245753.htm?ca=18&w=1,15 syyskuuta 01:15,-,01:29:06 2023-10-02
Radeon 5600 xt näytönohjain,120.00,"Lisätiedot
			Sapphire radeon 5600 xt pulse näytönohjain.
Pelattu cs:go, ei juuri muuta...Kortissa korkeampien kellotaajuuksien bios
(https://www.pcgamer.com/sapphire-details-how-to-update-its-radeon-rx-5600-pulse-bios-to-make-it-run-faster/).Voi myös tarjota vähemmän, jos hinta on mielestäsi
kohtuuton. Mut menee ekalle täyden hinnan
tarjoajalle.",https://www.tori.fi/uusimaa/Radeon_5600_xt_naytonohjain_118237422.htm?ca=18&w=1,14 syyskuuta 19:29,Erinomainen,01:29:07 2023-10-02
Evga GTX970 4gb näytönohjain,35.00,"Lisätiedot
			Evga geforce GTX970 SSC 4GBToimii moitteitta.Hyvin pelasi BF4, csgo, lol, dayz, mutta esim.
squad ei enää pyöri siedettävästi.",https://www.tori.fi/uusimaa/Evga_GTX970_4gb_naytonohjain_118226475.htm?ca=18&w=1,14 syyskuuta 15:48,Erinomainen,01:29:08 2023-10-02
ASUS Radeon RX580 DUAL 8GB,130.00,"Lisätiedot
			Hyvässä kunnossa oleva näyttis nyt halvalla uuteen
kotiin Noin vuoden verran oli itsellä käytössä ja
uuden tilalta myyn nyt pois :) Speksit voitte
katsoa itse -> https://www.asus.com/motherboards-components/graphics-cards/dual/dual-rx580-8g/Rohkeesti viestiä vain ja juttelemaan myös hinta
ei ole kiveen hakattu  0406887121 parhaiten saa viestillä kiinni jos
uudet viestit eivät tule täällä lävitse :) t.jesse",https://www.tori.fi/uusimaa/ASUS_Radeon_RX580_DUAL_8GB_118226342.htm?ca=18&w=1,14 syyskuuta 15:45,Erinomainen,01:29:09 2023-10-02
Tesla K80 24GB,150.00,"Lisätiedot
			Myynnissä Tesla K80 24GB ram. Kortti vähän
kärsineen näköinen ulkoisesti koska irroitin
kaiken ylimääräisen kortin kuoresta jotta
jäähdytys toimi paremmin. Tässä kortissa ei ole
ulostuloa näyttöön eli toimii apuna tehoa
vaativassa käytössä. Nouto Helsinki 00410.",https://www.tori.fi/uusimaa/Tesla_K80_24GB_118216338.htm?ca=18&w=1,14 syyskuuta 12:04,Hyvä,01:29:10 2023-10-02
RTX 3050 kaupan,215.00,"Lisätiedot
			Tässä Olisi erittäin vähän käytetty RTX 3050 8GB.Tuli koneen mukana ja vaihdettiin pienen käytön
jälkeen toiseen näytönohjaimeen. Eli tämä jäi
tarpeettomaksi",https://www.tori.fi/uusimaa/RTX_3050_kaupan_118066618.htm?ca=18&w=1,13 syyskuuta 18:31,Erinomainen,01:29:11 2023-10-02
Msi rx480 8gt,40.00,"Lisätiedot
			Toimistokoneesta irrotettu, täysin toimiva.",https://www.tori.fi/uusimaa/Msi_rx480_8gt_118180249.htm?ca=18&w=1,13 syyskuuta 14:01,Hyvä,01:29:12 2023-10-02
Asus strix gtx 960 4gb,40.00,"Lisätiedot
			Myydään käyttämättömäksi jäänyt asuksen strix
kortti. Käytetty enimmäkseen csgo ja cs2
pelaamiseen. Lämpötahnat suosittelen vaihtamaan. Hinta 40/tarjous. Postitus +5,90.Sijaitsee vantaalla",https://www.tori.fi/uusimaa/Asus_strix_gtx_960_4gb_118177951.htm?ca=18&w=1,13 syyskuuta 13:15,Hyvä,01:29:13 2023-10-02
ASUS Geforce GTX 1080 Ti Turbo vesiblokilla,210.00,"Lisätiedot
			Täysin kunnossa ja suoraan PC:stäni. Mukaan myös
alkuperäinen ilmajäähdytin. Voin asentaa kumman
jäähdyttimen vain haluat.",https://www.tori.fi/uusimaa/ASUS_Geforce_GTX_1080_Ti_Turbo_vesiblokilla_118160660.htm?ca=18&w=1,12 syyskuuta 21:52,Erinomainen,01:29:14 2023-10-02
Gigabyte GTX 1080ti 11gb,240.00,"Lisätiedot
			Siitä uuden tieltä, todella hyvä kortti vielä
peleihin tai editointi hommiin pitkäksi aikaan. Tän kortin kanssa olen käyttänyt vesijäähyä
ainoastaan ja asensin juuri tuon originaali jäähyn
takaisin samalla uudet tahnat sisään.",https://www.tori.fi/uusimaa/Gigabyte_GTX_1080ti_11gb_118118782.htm?ca=18&w=1,11 syyskuuta 21:17,Erinomainen,01:29:15 2023-10-02
MSI GeForce RTX 3060 Ti 8GB (varattu),300.00,"Lisätiedot
			Yllä mainittu näytönohjain. Takuu voimassa.Mieluiten nouto viikistä",https://www.tori.fi/uusimaa/MSI_GeForce_RTX_3060_Ti_8GB__varattu__118114475.htm?ca=18&w=1,11 syyskuuta 19:35,Uusi,01:29:16 2023-10-02
Tuf rx 5700 8gb,200.00,"Lisätiedot
			Myydään yllä mainittu näytönohjain.Mieluiten nouto viikistä",https://www.tori.fi/uusimaa/Tuf_rx_5700_8gb_118113410.htm?ca=18&w=1,11 syyskuuta 19:15,Hyvä,01:29:17 2023-10-02
Kfa2 Gtx 1660ti,100.00,"Lisätiedot
			Myydään 4kpl kfa2 gtx1660ti kortteja.Kortit on täysin kunnossa olevat ja toimii niin
kuin pitää.On puhdistettu ja pidetty huolta näistä.Ei ongelmia lämpöjen kanssa ynm.Kaikkiin löytyy alkuperäiset laatikot.100e/kpl.Noutona tai postitettuna.Postituksiin lisätään kulut 10.90eRahat tilille ja paketti postiin kuin näkyy
tilillä.Hinta tingitty valmiiksi!",https://www.tori.fi/uusimaa/Kfa2_Gtx_1660ti_118057428.htm?ca=18&w=1,10 syyskuuta 16:02,Hyvä,01:29:18 2023-10-02
AMD RX 6800 16gb XFX Swft,500.00,"Lisätiedot
			ostettu verkkokaupasta 11/2021 takuu voimassa.
olen kortin toinen omistaja ja kortti ollu itsellä
vuoden verran ja ollut vain pelikäytössä",https://www.tori.fi/uusimaa/AMD_RX_6800_16gb_XFX_Swft_118025720.htm?ca=18&w=1,9 syyskuuta 21:52,Erinomainen,01:29:19 2023-10-02
Radeon RX 580 MSI Gaming X 8GB,69.00,"Lisätiedot
			Vaihdoin itse tehokkaampaan näyttikseen. Täysin
toimiva, pyörii hyvin 1080p pelit tällä vehkeellä.
Pystyy ylikellottamaan hiukan, mutta ei
tarpeellista. Nouto Espoosta / Helsingistä Kortista löytyy:PCI Express X 16 8GB GDDR52x DisplayPort, 2x HDMI ja DL-DVI-D portitDirectX12 optimoitu 1 x 8-pin virtaliitäntäMitat: 276 X 140 X 42mm Crossfire 2 teknologia Suosittelisin väh. 500W virtalähteen kaveriksi",https://www.tori.fi/uusimaa/Radeon_RX_580_MSI_Gaming_X_8GB_118014427.htm?ca=18&w=1,9 syyskuuta 17:11,-,01:29:20 2023-10-02
Asus GTX 970 turbo näytönohjain,80.00,"Lisätiedot
			Asus GTX 970 turbo näytönohjain. Toimiva, useamman
vuoden vanha. Ostaja maksaa mahdolliset
postituskulut.",https://www.tori.fi/uusimaa/Asus_GTX_970_turbo_naytonohjain_118004317.htm?ca=18&w=1,9 syyskuuta 14:12,Hyvä,01:29:21 2023-10-02
3080 ASUS tuf gaming OC 12gb,680.00,"Lisätiedot
			Reilu vuoden pelikäytössä ollut näytönohjain
väistyy uudemman tieltä.. mukaan alkuperäinen
paketti ja tukirauta.",https://www.tori.fi/uusimaa/3080_ASUS_tuf_gaming_OC_12gb_117989609.htm?ca=18&w=1,9 syyskuuta 09:42,Erinomainen,01:29:22 2023-10-02
Gigabyte GeForce GTX 1660 Ti OC 6GB,180.00,"Lisätiedot
			Täysin toimiva ja vähävirtainen näytönohjain.
ostettu 14.12.2021 eli takuu voimassa vielä 2024
vuoden loppuun. Kuitti tallessa.",https://www.tori.fi/uusimaa/Gigabyte_GeForce_GTX_1660_Ti_OC_6GB_117989135.htm?ca=18&w=1,9 syyskuuta 09:32,Erinomainen,01:29:23 2023-10-02
Rx570 4gb GPU näytönohjaimet,55.00,"Lisätiedot
			Omalla vanhemmalla koneella käytetään rx 570 4gb
näytönohjaimet",https://www.tori.fi/uusimaa/Rx570_4gb_GPU_naytonohjaimet_117942799.htm?ca=18&w=1,7 syyskuuta 20:13,Hyvä,01:29:24 2023-10-02
Gtx 970,70.00,"Lisätiedot
			Hyvässä kunnossa, ollut vähällä käytöllä.",https://www.tori.fi/uusimaa/Gtx_970_117926194.htm?ca=18&w=1,7 syyskuuta 14:18,Erinomainen,01:29:25 2023-10-02
Sapphire Radeon RX 580 Nitro+ 8GB,100.00,"Lisätiedot
			Otsikon mukainen n 3v käyttämättömänä seissyt
näytönohjain",https://www.tori.fi/uusimaa/Sapphire_Radeon_RX_580_Nitro__8GB_115968737.htm?ca=18&w=1,7 syyskuuta 12:46,Erinomainen,01:29:26 2023-10-02
Asus Geforece GTX 1060 6GB,100.00,"Lisätiedot
			Otsikon mukainen kolme vuotta käyttämättömänä
seissyt näytönohjain",https://www.tori.fi/uusimaa/Asus_Geforece_GTX_1060_6GB_115968777.htm?ca=18&w=1,7 syyskuuta 12:45,Erinomainen,01:29:27 2023-10-02
GTX 1660 Ti Näytönohjain,200.00,"Lisätiedot
			Tarpeettomaksi jäänyt. Moitteettomassa kunnossa.
Ei ole mainattu. Ostettu noin 3v sitten.Ominaisuudet:    Piiri: GeForce GTX 1660 Ti (Boost 1830 MHz)    Muisti: 6144 Mt, 192-bit GDDR6 12000 MHz    Väylä: PCI-Express 3.0    1 x HDMI 2.0b, 3 x Display Port 1.4    G-SYNC -tuki    VR READY -tuki    OpenGL 4.5    DirectX 12    Mitat: 20,4 x 12,8 x 4,2 cm    Virtaliittimet: 1 x 8-pin    Virrankulutus: 120 W    Virtalähdesuositus: 450 W",https://www.tori.fi/uusimaa/GTX_1660_Ti_Naytonohjain_116868220.htm?ca=18&w=1,7 syyskuuta 06:50,Erinomainen,01:29:28 2023-10-02
Gigabyte geforce gtx 1070 g1 gaming 8g,130.00,"Lisätiedot
			Päivitin pelikoneen reilu vuosi sitten ja tuo
jäänyt käyttämättömänä kaappiin istumaan. Hyvässä
kunnossa kuten kuvista näkyy ja raskain rasitus
ollut HTC Vivellä Fallout 4:n pelaaminen.",https://www.tori.fi/uusimaa/Gigabyte_geforce_gtx_1070_g1_gaming_8g_113963695.htm?ca=18&w=1,3 syyskuuta 12:38,Erinomainen,01:29:29 2023-10-02
IGame GeForce RTX 3060 Advanced OC 12G,260.00,"Lisätiedot
			Piirisarja: GeForce® RTX 3060Muisti    : 12GBKoko      : 315.5*131*53mmwebsite   :
https://en.colorful.cn/en/home/product?mid=102&id=1837Tehokas, hiljainenSiisti, pakettiboxin kanssa",https://www.tori.fi/uusimaa/IGame_GeForce_RTX_3060_Advanced_OC_12G_117736438.htm?ca=18&w=1,3 syyskuuta 11:48,Erinomainen,01:29:30 2023-10-02
Radeon vega 56,110.00,"Lisätiedot
			Sapphire Radeon rx vega 56 pulse, 8gt HBM2
muistilla. Toimi hyvin. Tehtud benchmark 3Dmark
Free versio ja heaven uniginella. Teatatud 8k
video.",https://www.tori.fi/uusimaa/Radeon_vega_56_117682257.htm?ca=18&w=1,2 syyskuuta 10:54,Hyvä,01:29:31 2023-10-02
Näytönohjain MSI GeForce GTX 1060 Gaming X 6G,98.00,"Lisätiedot
			Myydään otsikon ja kuvien mukainen käytetty,
toimiva näytönohjain.gpu.userbenchmark.com mukaan kortin nykyarvo on
noin 120 eur. Vain nouto Helsingin Käpylästä,
maksu käteisellä tai MobilePayllä.",https://www.tori.fi/uusimaa/Naytonohjain_MSI_GeForce_GTX_1060_Gaming_X_6G_117653776.htm?ca=18&w=1,1 syyskuuta 15:19,Hyvä,01:29:32 2023-10-02
ASUS Radeon RX580 4GB (OC edition),70.00,"Lisätiedot
			Vain nouto, tuote on Konalassa, HelsingissäMyyn näytönohjaimeni, koska olen vaihtanut
tehokkaampaan. Tätä käytettiin kevyesti (20 pelituntia viikossa),
eikä sitä koskaan käytetty kryptolouhintaan. Mukaan tulee alkuperäinen laatikko, jossa kaikki
suojat sisällä.  Tuotteen tekniset tiedot:ASUS Radeon RX580 (VR ready) OC editionGDDR5, 4GB memory.sopii 1080p, 60 fps pelaamiseen",https://www.tori.fi/uusimaa/ASUS_Radeon_RX580_4GB__OC_edition__117645105.htm?ca=18&w=1,1 syyskuuta 12:17,Erinomainen,01:29:33 2023-10-02
GeForce RTX 3060Ti,300.00,"Lisätiedot
			Myyn RTX 3060 Ti,koska olin saanut toista
näyttöohjaimen",https://www.tori.fi/uusimaa/GeForce_RTX_3060Ti_117633840.htm?ca=18&w=1,1 syyskuuta 00:47,Erinomainen,01:29:34 2023-10-02
Asus DirectCUII R9 280 3GB,30.00,"Lisätiedot
			Molemmat erinomaisessa kunnossa. tehoa löytyy gta
v, cs/cs2 (low med) r6s, residentti 7 eviliinkin,
mafia definitive edition ilman valittamista myösr9 280 30eHalvalla lähtee ja laatutakuulla.Noudolla järvenpäästä",https://www.tori.fi/uusimaa/Asus_DirectCUII_R9_280_3GB_117620041.htm?ca=18&w=1,31 elokuuta 17:54,Erinomainen,01:29:35 2023-10-02
M: Gainward GeForce GTX 1060 6GB,85.00,"Lisätiedot
			Gainward GeForce GTX 1060 6GB näytönohjainProduct Name GeForce® GTX 1060 6GB Barcode
426018336-3712 GPU GeForce GTX 1060 GPU Clockspeed 1708 Mhz (boost)/1506 Mhz (base) Memory 6GB GDDR5 (192 bits) Memory Clockspeed 4000Mhz (DDR 8G) Bandwidth 192
GB/sec Bus PCI-Express 3.0 x 16 Cooling 2 Slot Fan cooler Video-Features HDMI v2.0 Connectivity DVI-D + DisplayPort *3 Product Size 252mm x 112mm Power Connector 6-pin Hinta: 85 euroa",https://www.tori.fi/uusimaa/M__Gainward_GeForce_GTX_1060_6GB_117499850.htm?ca=18&w=1,29 elokuuta 02:31,Hyvä,01:29:36 2023-10-02
Sapphire Nitro+ 6800XT Vesiblokki,50.00,"Lisätiedot
			Alphacoolin blokki ja backplate. Täysin ehjä ja
toimiva. D-RGB (3pin) valaistus. Voin postittaa,
mutta postitus tapahtuu mallilla rahat ensin
tilille.",https://www.tori.fi/uusimaa/Sapphire_Nitro__6800XT_Vesiblokki_117480206.htm?ca=18&w=1,28 elokuuta 17:16,Erinomainen,01:29:37 2023-10-02
Nvidia GeForce GTX 1070 graphic card,160.00,"Lisätiedot
			About this itemPowered by the NVIDIA GeForce GTX 1070 graphics
processing unit (GPU)8GB GDDR5 (256-bit) on-board memoryPCI Express 3.0 x16 interfaceNVIDIA CUDA technologyVR-ready",https://www.tori.fi/uusimaa/Nvidia_GeForce_GTX_1070_graphic_card_117457113.htm?ca=18&w=1,28 elokuuta 10:22,Hyvä,01:29:38 2023-10-02
Asus GeForce PH-GTX1660S-O6G -näytönohjain,150.00,"Lisätiedot
			Myydään täysin käyttämätön Nvidia gtx 1660 super
näytönohjain.Takuuta jäljellä vielä noin 20 kuukautta.",https://www.tori.fi/uusimaa/Asus_GeForce_PH_GTX1660S_O6G__naytonohjain_117453241.htm?ca=18&w=1,28 elokuuta 08:30,Uusi,01:29:39 2023-10-02
Asus GTX 1060 STRIX OC 6GB,70.00,"Lisätiedot
			Näyttis on ollut hyvässä käytössä, pääsääntöisesti
pelaamisessa ja editoinnissa.Kyiseinen kappale toimii hyvin 1080p pelaamiseen
ja iänsä takia en voi antaa erinomaista
kuntoluokitusta. Myyn pois sillä oon siirtynyt 2k pelaamiseen ja
haluan enemmän tehoja.Mieluiten nouto, mutta tarvittaessa toimitus käy
myös.",https://www.tori.fi/uusimaa/Asus_GTX_1060_STRIX_OC_6GB_117450623.htm?ca=18&w=1,28 elokuuta 00:38,Hyvä,01:29:40 2023-10-02
Gigabyte G1 gaming GTX 970,50.00,"Lisätiedot
			Siisti näyttis orkkis laatikossa. Muistaakseni 3kk
sitten vaihdoin tahnat ja ajoin rasitustestiä
useamman tunnin.Kolmiosainen iso jäähy kolmella tuulettimella, GTX
970 korteista vahvin virransyöttö.",https://www.tori.fi/uusimaa/Gigabyte_G1_gaming_GTX_970_117415732.htm?ca=18&w=1,27 elokuuta 14:04,Hyvä,01:29:41 2023-10-02
Nvidia 1080ti 11gb game rock BykSki vesiblokilla,200.00,"Lisätiedot
			Myydään kuvanmukainen näyttis blokkeineen, väistyy
pelikoneestani uuden näyttiksen tieltä. Mieluiten
nouto vantaan simonkylästä. Kuvan karaliittimet ei
kuulu mukaan.  Mukaan ei tule ilmajäähdytintä.
Toiminut moitteetta ja pyörittää raskaampiakin
pelejä. Kyseisellä kortilla ja blokilla on saatu
näyttiksen tehot vastamaan 3060ti korttia. Kortti
ollut minulla uudesta asti pelikäytössä. Kyseistä korttia myydään ~200eur hinnalla. Blokki
maksaa 100-150eur joten turha tulla kitisemään
hinnasta. Nopeilla kaupoilla voidaan miettiä
hintaa. Vaihdossa voin ottaa, halvan am4 emon
(x470/b550/x570). Myös muuta tietokone osaa voi
tyrkyttää!Simonkylä, Vantaa 0407540282",https://www.tori.fi/uusimaa/Nvidia_1080ti_11gb_game_rock_BykSki_vesiblokilla_117377271.htm?ca=18&w=1,26 elokuuta 16:46,Erinomainen,01:29:42 2023-10-02
Asus Trix 1080GTX 8Gb näytönohjain,150.00,"Lisätiedot
			Myynnissä täysin toimiva GTX1080, ollut omassa
käytössä, aikoinaan ostettu jimms kaupasta.Nyt myynnissä kun uusi tullut tilalle. Kaikki
pelit tällä toimii 1080p Ultralla.Käteinen tai mobilepay",https://www.tori.fi/uusimaa/Asus_Trix_1080GTX_8Gb_naytonohjain_117301388.htm?ca=18&w=1,24 elokuuta 20:58,Erinomainen,01:29:43 2023-10-02
Msi aero 1060 3g,50.00,"Lisätiedot
			Myydään hyvin toimiva MSI Aero 1060 3G, joka on
noin 30-50% tehokkaampi kuin pikkuveljensä 1050ti.Pyörittää helposti vanhemmat pelit kuten roblox,
fortnite, league of legends yms.",https://www.tori.fi/uusimaa/Msi_aero_1060_3g_117292860.htm?ca=18&w=1,24 elokuuta 18:14,Hyvä,01:29:44 2023-10-02
MSI Aero 1050ti,50.00,"Lisätiedot
			Myydään täysin ongelmitta itseä palvellut MSI Aero
1050ti näytönohjain. Toimii pelkällä pcie portin
virralla, eikä täten vaadi erillistä virtajohtoa.Jaksaa pyörittää vanhempia pelejä kuten fortnite,
csgo, league of legends, roblox,  yms.",https://www.tori.fi/uusimaa/MSI_Aero_1050ti_117292487.htm?ca=18&w=1,24 elokuuta 18:06,Hyvä,01:29:45 2023-10-02
ASUS RX580 DUAL 8GB Näytönohjain,70.00,"Lisätiedot
			Myynnissä ASUS RX580 DUAL 8GB NäytönohjainOllut pelikäytössä n. 3 vuottaValmistajan sivut:https://www.asus.com/fi/motherboards-components/graphics-cards/dual/dual-rx580-o8g/",https://www.tori.fi/uusimaa/ASUS_RX580_DUAL_8GB_Naytonohjain_117287285.htm?ca=18&w=1,24 elokuuta 16:28,Erinomainen,01:29:46 2023-10-02
RX 580 Sapphire Dual 8GB,80.00,"Lisätiedot
			Otsikon mukainen näytönohjain uuden alta myyntiin.
Lämmöt pysyy hyvin kurissa kahden tuulettimen
ansioista. Tällä pelaa vielä pitkään 1080p
tarkkuudella.",https://www.tori.fi/uusimaa/RX_580_Sapphire_Dual_8GB_117267247.htm?ca=18&w=1,24 elokuuta 09:42,Erinomainen,01:29:47 2023-10-02
Gigabyte GTX 750 2GB,30.00,"Lisätiedot
			Päivityksen alta seuraavalle myyntiin.Täysin toimiva näyttis.",https://www.tori.fi/uusimaa/Gigabyte_GTX_750_2GB_117262352.htm?ca=18&w=1,24 elokuuta 00:23,Erinomainen,01:29:48 2023-10-02
Asus tuf rx5700xt o8g gaming,180.00,"Lisätiedot
			Myydään otsikon ja kuvien mukainen ADM Radeon
RX5700XT. Mieluiten nouto, postitus onnistuu.",https://www.tori.fi/uusimaa/Asus_tuf_rx5700xt_o8g_gaming_117222028.htm?ca=18&w=1,23 elokuuta 10:13,Erinomainen,01:29:49 2023-10-02
PowerColor RX 580 8Gb,70.00,"Lisätiedot
			Myydään hyväkuntoinen PowerColor RX 580 8Gb.Mieluiten nouto mutta postituskin mahdollista.Hinta: 70",https://www.tori.fi/uusimaa/PowerColor_RX_580_8Gb_117221850.htm?ca=18&w=1,23 elokuuta 10:08,Hyvä,01:29:50 2023-10-02
Näytönohjain Rx 470,40.00,"Lisätiedot
			Myydään MSI rx470 4gb näyttis.Ollut viime ajat varakorttina kaapissa.",https://www.tori.fi/uusimaa/Naytonohjain_Rx_470_117202488.htm?ca=18&w=1,22 elokuuta 18:54,Hyvä,01:29:51 2023-10-02
Asus Strix GTX970 4Gb,45.00,"Lisätiedot
			Moitteeton GTX 970 myynnissä. Otettu pois suoraan
käytöstä. Ollut joskus pelikäytössä ja myöhemmin
ihan kodin viihdeyksikkönä.Nouto Käpylästä ja maksu mobilepaylla.",https://www.tori.fi/uusimaa/Asus_Strix_GTX970_4Gb_117183579.htm?ca=18&w=1,22 elokuuta 13:21,Erinomainen,01:29:52 2023-10-02
ASUS rx 480,125.00,"Lisätiedot
			SpecsRX 480 4GBVähän käytetty",https://www.tori.fi/uusimaa/ASUS_rx_480_117168706.htm?ca=18&w=1,22 elokuuta 07:55,Erinomainen,01:29:53 2023-10-02
MSI GTX 980 Gaming 4GB,65.00,"Lisätiedot
			Suoraan käytöstä myyntiin, tällä hetkellä
jokapäiväisessä käytössä. Ei mitään vikoja tai
ongelmia kortin kanssa ollut. Vain liian tehokas
omaan käyttöön.Nouto: PäiväkumpuMaksutapa : Käteinen",https://www.tori.fi/uusimaa/MSI_GTX_980_Gaming_4GB_117122390.htm?ca=18&w=1,21 elokuuta 02:14,Hyvä,01:29:54 2023-10-02
